Start,End,Open,High,Low,Close,Volume,Market Cap,Log_Returns,Daily_Data_Without_Noise,Weekly_Data_Without_Noise,Monthly_Data_Without_Noise,Quarterly_Data_Without_Noise
2022-12-27,2022-12-28,16919.823027132126,16963.0029797476,16631.43,16706.459709721472,31444051214.22222,322923072279.5686,,16706.459709721472,,,
2022-12-26,2022-12-27,16832.923370768047,16911.64997081397,16804.8397873503,16908.94843019802,26543512369.77778,323775353259.3779,0.012047521111480353,16908.94843019802,,,
2022-12-25,2022-12-26,16836.196,16849.6872,16739.6511,16829.918403840365,21982382836.404182,323158776557.9099,-0.004684814773946444,16829.918403840365,,,
2022-12-24,2022-12-25,16779.530797670854,16853.5422,16779.530797670854,16833.8821,20626954275.55556,323406562648.0166,0.00023548714753692348,16833.8821,16765.131549082762,,
2022-12-23,2022-12-24,16819.795401654657,16903.32652267795,16772.50272292723,16780.463676220097,35636481443.55556,323385347331.6032,-0.0031783137535083064,16780.463676220097,16758.090141952936,,
2022-12-22,2022-12-23,16818.780905015054,16859.2589,16572.0123,16822.062144857282,33312386965.33333,322422836811.5665,0.002475914466019183,16822.062144857282,16707.978499849116,,
2022-12-21,2022-12-22,16901.38001431798,16921.028080591037,16740.439,16806.416495870926,42938911495.11112,323370704324.2319,-0.0009305000254326414,16806.416495870926,16847.47331266159,,
2022-12-20,2022-12-21,16441.86651327895,16994.6028,16408.67749509621,16902.54219033073,50421339946.66666,322615905375.6514,0.00570328831069479,16902.54219033073,16757.37449827159,,
2022-12-19,2022-12-20,16741.11828923561,16801.150077948707,16366.3141,16424.79671324863,29555712497.77778,320479941309.2338,-0.0286718484522764,16424.79671324863,16794.214565057962,,
2022-12-18,2022-12-19,16779.090095384396,16820.63769137972,16677.74536920177,16750.765809591638,25538438677.33333,321547718539.3389,0.019651789574236835,16750.765809591638,16839.118635118055,,
2022-12-17,2022-12-18,16636.47028683979,16785.892297944447,16594.00093335609,16785.892297944447,46630829169.77778,320862704602.3825,0.002094812255023134,16785.892297944447,16896.983905530557,,
2022-12-16,2022-12-17,17358.5225206672,17513.9378,16529.297357680505,16608.4932,47661468458.66666,328532141010.85126,-0.01062458638225557,16608.4932,16985.331910065717,,
2022-12-15,2022-12-16,17794.87527368345,17843.08619595741,17306.065623820537,17339.458270551433,56261667200.0,337849259128.5813,0.04307052618399935,17339.458270551433,17118.101630650548,,
2022-12-14,2022-12-15,17779.867619706492,18329.45017203005,17710.387652122143,17799.16897417585,53775197070.22222,343458912279.5559,0.026167040105785237,17799.16897417585,17317.639774934174,,
2022-12-13,2022-12-14,17202.490499300773,17932.4687,17097.2124,17766.350552594908,41107035768.888885,335677125245.7431,-0.0018455195555932937,17766.350552594908,17281.317830612978,,
2022-12-12,2022-12-13,17089.446091063823,17220.814535119767,16882.272894519563,17220.814535119767,27210991608.88889,326657443273.10474,-0.031187450236589722,17220.814535119767,17416.281326537264,16701.197191174793,
2022-12-11,2022-12-12,17129.863554165495,17253.191402270015,17080.092146895866,17091.916535641005,19589911018.666668,329675056005.3344,-0.007513165043306702,17091.916535641005,17375.183567906704,16715.406183640196,
